tti,ue,sinr_db,cqi,bits_per_rb,rb_err_prob
0,0,12.79,9,336,0.021276
0,1,15.47,11,480,0.002542
0,2,6.95,6,192,0.698607
0,3,18.08,12,552,0.000314
0,4,8.46,7,240,0.409125
0,5,17.09,12,552,0.000693
0,6,21.18,14,744,0.000100
0,7,19.16,13,648,0.000133
0,8,9.15,8,288,0.285602
0,9,24.00,15,840,0.000100
0,10,10.63,8,288,0.108450
0,11,24.56,15,840,0.000100
0,12,21.08,14,744,0.000100
0,13,11.82,9,336,0.044845
0,14,28.06,15,840,0.000100
0,15,30.00,15,840,0.000100
0,16,21.67,14,744,0.000100
0,17,7.09,7,240,0.674650
0,18,7.95,7,240,0.510297
0,19,10.09,8,288,0.158360
0,20,30.00,15,840,0.000100
0,21,21.43,14,744,0.000100
0,22,10.10,8,288,0.156814
0,23,15.24,11,480,0.003046
0,24,11.50,9,336,0.057504
0,25,8.99,7,240,0.311553
0,26,30.00,15,840,0.000100
0,27,17.69,12,552,0.000430
0,28,18.27,12,552,0.000271
0,29,9.39,8,288,0.247939
0,30,23.97,15,840,0.000100
0,31,29.06,15,840,0.000100
1,0,15.17,11,480,0.003205
1,1,15.97,11,480,0.001697
1,2,9.74,8,288,0.198582
1,3,18.89,12,552,0.000165
1,4,7.20,7,240,0.655192
1,5,16.06,11,480,0.001585
1,6,22.05,14,744,0.000100
1,7,18.64,12,552,0.000201
1,8,9.31,8,288,0.259728
1,9,23.11,15,840,0.000100
1,10,9.23,8,288,0.272150
1,11,22.73,14,744,0.000100
1,12,19.68,13,648,0.000100
1,13,12.24,9,336,0.032457
1,14,29.07,15,840,0.000100
1,15,30.00,15,840,0.000100
1,16,23.69,15,840,0.000100
1,17,6.46,6,192,0.774067
1,18,7.69,7,240,0.560723
1,19,8.01,7,240,0.497436
1,20,30.00,15,840,0.000100
1,21,20.87,13,648,0.000100
1,22,9.96,8,288,0.172824
1,23,14.77,10,408,0.004410
1,24,10.77,8,288,0.098457
1,25,6.79,6,192,0.724018
1,26,30.00,15,840,0.000100
1,27,15.71,11,480,0.002088
1,28,18.86,12,552,0.000169
1,29,11.07,9,336,0.078832
1,30,26.48,15,840,0.000100
1,31,27.26,15,840,0.000100
2,0,14.10,10,408,0.007512
2,1,16.53,11,480,0.001084
2,2,9.27,8,288,0.265790
2,3,16.72,11,480,0.000934
2,4,7.48,7,240,0.601832
2,5,15.51,11,480,0.002457
2,6,19.73,13,648,0.000100
2,7,19.70,13,648,0.000100
2,8,11.68,9,336,0.050059
2,9,23.73,15,840,0.000100
2,10,9.79,8,288,0.192223
2,11,22.28,14,744,0.000100
2,12,21.14,14,744,0.000100
2,13,16.28,11,480,0.001324
2,14,30.00,15,840,0.000100
2,15,30.00,15,840,0.000100
