tti,event,ue,pkt_bits,retx,sinr_db,cqi,rb_alloc,rb_perr
8,ACK,1,2606,0,15.47,11,6,0.002542
8,ACK,3,11721,0,18.08,12,22,0.000314
8,NACK,8,11378,1,9.15,8,40,0.285602
8,NACK,22,8361,1,10.10,8,30,0.156814
9,ACK,24,4755,0,10.77,8,17,0.098457
9,NACK,25,10650,1,6.79,6,56,0.724018
9,ACK,0,9928,0,15.17,11,21,0.003205
10,NACK,2,999,1,9.27,8,4,0.265790
10,ACK,3,6692,0,16.72,11,14,0.000934
10,NACK,4,7250,1,7.48,7,31,0.601832
10,ACK,7,1943,0,19.70,13,3,0.000100
10,NACK,10,11870,1,9.79,8,42,0.192223
11,ACK,14,1517,0,27.80,15,2,0.000100
11,ACK,16,6311,0,25.07,15,8,0.000100
11,NACK,18,7982,1,3.09,5,56,0.980744
11,ACK,21,9085,0,18.57,12,17,0.000213
11,ACK,31,7566,0,29.23,15,10,0.000100
12,ACK,1,1166,0,16.68,11,3,0.000964
12,NACK,4,5265,1,6.58,6,28,0.756507
12,ACK,8,6173,0,15.93,11,13,0.001750
12,ACK,12,6993,0,23.28,15,9,0.000100
12,ACK,14,7243,0,27.02,15,9,0.000100
12,ACK,30,4325,0,24.84,15,6,0.000100
12,ACK,0,1373,0,16.32,11,3,0.001288
13,NACK,2,853,1,7.66,7,4,0.568124
13,ACK,3,2039,0,23.81,15,3,0.000100
13,ACK,7,9906,0,15.82,11,21,0.001910
13,ACK,8,8910,0,14.96,10,22,0.003811
13,ACK,28,7756,0,15.10,11,17,0.003398
13,NACK,29,1032,1,5.75,6,6,0.858357
13,ACK,5,1323,0,18.09,12,3,0.000311
13,ACK,7,7718,0,15.82,11,17,0.001910
14,ACK,12,2965,0,22.39,14,4,0.000100
14,NACK,18,8425,1,4.81,5,59,0.927514
14,ACK,7,1855,0,13.90,10,5,0.008862
14,ACK,11,2112,0,23.01,15,3,0.000100
14,ACK,22,1890,0,11.41,9,6,0.061373
14,ACK,3,7160,0,24.15,15,9,0.000100
15,ACK,10,21,0,9.26,8,1,0.268021
15,ACK,11,8017,0,24.20,15,10,0.000100
15,ACK,13,11004,0,15.38,11,23,0.002722
15,ACK,20,2260,0,30.00,15,3,0.000100
15,ACK,24,1201,0,13.98,10,3,0.008275
15,ACK,3,4689,0,25.50,15,6,0.000100
15,ACK,14,1112,0,27.63,15,2,0.000100
15,NACK,18,4030,1,4.31,5,28,0.950528
16,ACK,8,11378,0,15.35,11,24,0.002794
16,NACK,22,8361,1,10.95,8,30,0.086028
16,ACK,19,1542,0,10.02,8,6,0.165858
16,ACK,21,11080,0,18.74,12,21,0.000186
17,NACK,25,22,1,6.51,6,1,0.766432
17,ACK,0,8690,0,13.10,10,22,0.016622
17,ACK,5,4093,0,18.33,12,8,0.000259
17,ACK,11,9370,0,25.35,15,12,0.000100
17,ACK,21,8089,0,17.96,12,15,0.000347
17,ACK,30,840,0,23.92,15,1,0.000100
17,ACK,0,3939,0,13.10,10,10,0.016622
17,ACK,11,1055,0,25.35,15,2,0.000100
17,ACK,14,10699,0,30.00,15,13,0.000100
17,ACK,15,11062,0,29.50,15,14,0.000100
18,ACK,20,5661,0,30.00,15,7,0.000100
18,ACK,21,10654,0,15.87,11,23,0.001842
18,ACK,3,5020,0,24.35,15,6,0.000100
18,ACK,7,9722,0,12.92,9,29,0.019142
18,ACK,16,11556,0,22.22,14,16,0.000100
18,NACK,19,2577,1,8.07,7,11,0.486841
19,ACK,23,832,0,14.09,10,3,0.007571
19,ACK,26,7989,0,30.00,15,10,0.000100
19,ACK,28,1008,0,18.86,12,2,0.000169
19,NACK,4,2560,1,3.73,5,18,0.968271
19,ACK,6,2056,0,23.50,15,3,0.000100
19,ACK,7,2140,0,13.53,10,6,0.011862
19,ACK,9,5157,0,22.79,14,7,0.000100
19,ACK,14,10984,0,29.25,15,14,0.000100
19,ACK,15,5027,0,30.00,15,6,0.000100
19,ACK,27,9025,0,13.69,10,23,0.010468
19,ACK,28,3911,0,18.86,12,8,0.000169
20,ACK,30,5167,0,26.17,15,7,0.000100
20,ACK,9,7139,0,22.96,14,10,0.000100
20,NACK,10,8232,1,10.90,8,29,0.089491
20,NACK,18,2051,1,6.72,6,11,0.735123
20,NACK,25,4867,1,5.25,6,26,0.900047
20,ACK,28,5714,0,20.84,13,9,0.000100
21,ACK,30,2669,0,27.04,15,4,0.000100
21,NACK,4,3630,1,6.63,6,19,0.750143
21,ACK,5,8128,0,20.97,13,13,0.000100
21,ACK,9,6429,0,23.80,15,8,0.000100
21,NACK,10,8160,1,11.22,9,25,0.070601
21,ACK,11,1546,0,27.63,15,2,0.000100
21,ACK,13,10388,0,15.38,11,22,0.002711
21,ACK,14,3598,0,30.00,15,5,0.000100
22,ACK,24,861,0,14.15,10,3,0.007255
22,ACK,26,2642,0,30.00,15,4,0.000100
22,ACK,28,9971,0,17.40,12,19,0.000541
22,NACK,2,7834,1,4.50,5,55,0.942875
22,ACK,6,11100,0,23.55,15,14,0.000100
23,NACK,18,4030,1,6.38,6,21,0.785048
23,ACK,7,4179,0,15.70,11,9,0.002111
23,NACK,10,5923,1,9.99,8,21,0.169131
23,ACK,12,5624,0,23.33,15,7,0.000100
23,ACK,16,8501,0,17.17,12,16,0.000653
24,NACK,19,4189,1,7.09,7,18,0.674768
24,ACK,21,9453,0,18.04,12,18,0.000325
24,ACK,30,9123,0,29.44,15,11,0.000100
24,ACK,3,3960,0,23.28,15,5,0.000100
24,ACK,7,2242,0,16.49,11,5,0.001120
25,NACK,8,813,1,8.34,7,4,0.431963
25,ACK,13,5161,0,15.08,11,11,0.003466
25,ACK,15,6132,0,30.00,15,8,0.000100
25,NACK,19,5738,1,4.88,5,40,0.923669
25,ACK,22,3728,0,14.63,10,10,0.004944
25,ACK,26,8328,0,30.00,15,10,0.000100
26,NACK,19,2577,1,4.47,5,18,0.943877
26,ACK,27,4865,0,14.52,10,12,0.005378
26,ACK,30,7113,0,29.29,15,9,0.000100
26,NACK,4,6108,1,7.27,7,26,0.642576
26,ACK,5,1648,0,19.13,13,3,0.000136
26,ACK,7,11227,0,19.71,13,18,0.000100
26,ACK,9,10841,0,26.07,15,13,0.000100
27,NACK,4,2560,1,8.55,7,11,0.392389
27,ACK,15,4848,0,29.15,15,6,0.000100
27,ACK,13,8487,0,12.92,9,26,0.019200
27,ACK,14,4988,0,30.00,15,6,0.000100
27,ACK,15,6981,0,29.15,15,9,0.000100
27,NACK,17,4138,1,5.75,6,22,0.857803
27,ACK,20,1185,0,30.00,15,2,0.000100
27,ACK,21,2263,0,20.65,13,4,0.000100
28,NACK,10,8232,1,10.44,8,29,0.124664
28,NACK,18,2051,1,7.99,7,9,0.501272
28,NACK,25,4867,1,3.60,5,34,0.971308
28,ACK,29,5381,0,13.82,10,14,0.009426
28,ACK,30,9334,0,30.00,15,12,0.000100
29,NACK,4,3630,1,4.44,5,26,0.945316
29,NACK,10,8160,1,9.45,8,29,0.239099
29,ACK,9,8678,0,25.19,15,11,0.000100
29,ACK,15,7679,0,30.00,15,10,0.000100
29,NACK,4,1377,1,4.44,5,10,0.945316
29,ACK,11,3010,0,29.56,15,4,0.000100
29,ACK,16,1791,0,14.64,10,5,0.004911
30,NACK,2,7834,1,5.28,6,41,0.898146
30,NACK,17,8880,1,7.43,7,37,0.611441
31,NACK,19,3974,1,6.18,6,21,0.811102
32,NACK,25,4067,1,4.05,5,29,0.959241
32,ACK,26,11334,0,30.00,15,14,0.000100
32,ACK,27,2982,0,15.65,11,7,0.002201
33,NACK,2,1220,1,2.27,4,11,0.989911
33,ACK,6,9327,0,23.45,15,12,0.000100
33,ACK,16,7447,0,16.93,11,16,0.000788
33,ACK,17,5288,0,11.71,9,16,0.048772
34,NACK,25,2960,1,5.48,6,16,0.882484
34,ACK,27,10043,0,17.26,12,19,0.000605
34,ACK,31,1556,0,29.09,15,2,0.000100
34,ACK,17,3653,0,10.34,8,13,0.133561
34,ACK,21,5948,0,24.45,15,8,0.000100
34,ACK,22,3590,0,14.76,10,9,0.004463
34,NACK,24,2280,1,8.12,7,10,0.476780
34,ACK,31,4850,0,29.09,15,6,0.000100
34,ACK,3,3003,0,14.94,10,8,0.003870
35,NACK,4,4959,1,6.54,6,26,0.762713
35,ACK,9,3497,0,21.34,14,5,0.000100
35,NACK,13,4700,1,10.69,8,17,0.104249
35,ACK,14,9090,0,30.00,15,11,0.000100
35,ACK,20,11956,0,30.00,15,15,0.000100
35,ACK,21,3019,0,25.15,15,4,0.000100
35,ACK,26,6218,0,30.00,15,8,0.000100
35,ACK,28,1336,0,18.52,12,3,0.000221
36,ACK,29,5794,0,12.32,9,18,0.030617
36,ACK,5,4264,0,20.25,13,7,0.000100
36,ACK,7,11844,0,17.18,12,22,0.000646
36,ACK,16,4641,0,18.21,12,9,0.000284
36,NACK,17,9149,1,10.43,8,32,0.125246
37,NACK,23,7201,1,10.37,8,26,0.130647
37,NACK,4,5793,1,7.23,7,25,0.649015
37,NACK,8,9744,1,8.92,7,41,0.324119
37,ACK,12,5668,0,22.08,14,8,0.000100
38,ACK,16,2562,0,17.17,12,5,0.000650
38,NACK,17,7266,1,10.04,8,26,0.163379
38,ACK,19,888,0,9.62,8,4,0.214912
38,ACK,22,4133,0,15.79,11,9,0.001969
38,NACK,25,7290,1,6.28,6,38,0.798870
