tti,ue,bits_sent,rb_used,cqi,queue_after,hol_deadline
0,1,2880,6,11,0,0
0,3,12144,22,12,0,0
0,8,11520,40,8,0,0
0,22,8640,30,8,0,0
0,24,672,2,9,1,8
1,0,10080,21,11,0,0
1,2,1728,6,8,1,9
1,24,4896,17,8,0,0
1,25,10752,56,6,0,0
2,2,1152,4,8,0,0
2,3,6720,14,11,0,0
2,4,7440,31,7,1,10
2,7,1944,3,13,0,0
2,10,12096,42,8,0,0
2,14,5040,6,15,2,9
3,1,3360,7,11,1,10
3,14,1680,2,15,1,10
3,16,6720,8,15,0,0
3,18,8064,56,5,0,0
3,21,9384,17,12,0,0
3,31,8400,10,15,0,0
4,0,1440,3,11,0,0
4,1,1440,3,11,0,0
4,2,6960,29,7,1,11
4,4,5376,28,6,0,0
4,8,6240,13,11,1,11
4,12,7560,9,15,1,12
4,14,7560,9,15,0,0
4,30,5040,6,15,0,0
5,2,960,4,7,0,0
5,3,2520,3,15,0,0
5,5,1656,3,12,0,0
5,7,18240,38,11,1,13
5,8,8976,22,10,0,0
5,12,5208,7,14,1,12
5,28,8160,17,11,0,0
5,29,1152,6,6,0,0
6,3,7560,9,15,0,0
6,7,2040,5,10,0,0
6,10,4032,14,8,1,14
6,11,2520,3,15,1,14
6,12,2976,4,14,0,0
6,18,8496,59,5,0,0
6,22,2016,6,9,0,0
7,3,5040,6,15,0,0
7,10,288,1,8,0,0
7,11,8400,10,15,0,0
7,13,11040,23,11,0,0
7,14,1680,2,15,0,0
7,18,4032,28,5,0,0
7,19,8064,24,9,1,15
7,20,2520,3,15,0,0
7,24,1224,3,10,0,0
8,8,11520,24,11,0,0
8,19,1728,6,8,0,0
8,21,11592,21,12,1,16
8,22,8640,30,8,0,0
8,25,3648,19,6,1,15
9,0,13056,32,10,0,0
9,5,4416,8,12,0,0
9,11,11760,14,15,0,0
9,14,10920,13,15,0,0
9,15,11760,14,15,0,0
9,20,1680,2,15,1,17
9,21,8280,15,12,1,17
9,25,192,1,6,0,0
9,30,840,1,15,0,0
10,3,5040,6,15,0,0
10,7,9744,29,9,0,0
10,16,11904,16,14,0,0
10,19,2640,11,7,0,0
10,20,5880,7,15,0,0
10,21,11040,23,11,0,0
10,23,3840,8,11,1,18
11,4,2592,18,5,0,0
11,6,2520,3,15,0,0
11,7,2448,6,10,0,0
11,9,5208,7,14,0,0
11,14,11760,14,15,0,0
11,15,5040,6,15,0,0
11,23,1224,3,10,0,0
11,26,8400,10,15,0,0
11,27,9384,23,10,0,0
11,28,5520,10,12,0,0
12,9,7440,10,14,0,0
12,10,8352,29,8,0,0
12,18,2112,11,6,0,0
12,25,4992,26,6,0,0
12,28,5832,9,13,0,0
12,30,12600,15,15,1,20
13,4,3648,19,6,0,0
13,5,8424,13,13,0,0
13,9,6720,8,15,0,0
13,10,8400,25,9,0,0
13,11,1680,2,15,0,0
13,13,10560,22,11,0,0
13,14,4200,5,15,0,0
13,24,816,2,10,1,21
13,30,3360,4,15,0,0
14,2,7920,55,5,0,0
14,6,11760,14,15,0,0
14,7,2040,5,10,1,22
14,24,1224,3,10,0,0
14,26,3360,4,15,0,0
14,28,10488,19,12,0,0
15,7,4320,9,11,1,23
15,10,6048,21,8,0,0
15,12,5880,7,15,0,0
15,16,8832,16,12,0,0
15,18,4032,21,6,0,0
15,19,6240,26,7,2,22
16,3,4200,5,15,0,0
16,7,2400,5,11,1,24
16,8,10320,43,7,1,23
16,19,4320,18,7,1,23
16,21,9936,18,12,0,0
16,30,9240,11,15,1,23
17,8,960,4,7,0,0
17,13,5280,11,11,1,25
17,15,6720,8,15,2,24
17,19,5760,40,5,0,0
17,22,4080,10,10,0,0
17,26,8400,10,15,0,0
17,27,6936,17,10,1,23
18,4,6240,26,7,0,0
18,5,1944,3,13,0,0
18,7,11664,18,13,0,0
18,9,10920,13,15,1,26
18,15,840,1,15,3,24
18,19,2592,18,5,0,0
18,27,4896,12,10,0,0
