tti,ue,bits_sent,rb_used,cqi,queue_after,hol_deadline
0,0,1224,3,10,0,0
0,2,1296,2,13,0,0
0,4,11592,21,12,0,0
0,5,4032,21,6,0,0
0,8,7560,9,15,0,0
0,9,10920,13,15,0,0
0,10,5880,7,15,0,0
0,12,8976,22,10,0,0
0,13,3360,4,15,0,0
0,15,5520,10,12,0,0
0,16,2520,3,15,0,0
0,19,8928,12,14,0,0
0,22,9072,27,9,0,0
0,24,8280,15,12,0,0
0,25,4896,12,10,0,0
0,26,6384,19,9,1,8
1,26,5712,14,10,1,9
1,29,5280,22,7,1,9
1,30,8400,10,15,1,9
1,31,5712,14,10,0,0
1,32,7200,50,5,1,9
1,36,4824,67,2,1,9
1,39,11760,14,15,0,0
1,40,7560,9,15,1,8
2,40,1680,2,15,1,10
2,42,5952,8,14,2,9
2,45,1680,2,15,0,0
2,47,1632,4,10,0,0
2,48,4416,8,12,0,0
2,49,10080,30,9,1,9
2,50,10416,31,9,0,0
2,51,10488,19,12,1,10
2,52,7680,32,7,1,10
2,53,2592,4,13,0,0
2,54,2880,60,1,3,8
3,54,3312,69,1,2,9
3,55,5040,6,15,3,9
3,56,6720,20,9,1,11
3,57,7560,9,15,3,9
3,58,2592,4,13,2,9
3,59,8184,11,14,0,0
3,64,2520,3,15,1,10
3,67,3360,4,15,1,9
3,70,9240,11,15,2,9
3,72,5208,7,14,2,10
3,73,5040,6,15,0,0
3,77,9936,18,12,1,9
3,78,4320,9,11,1,10
3,79,7440,10,14,1,10
3,80,4368,13,9,3,8
4,80,1344,4,9,3,10
4,81,4416,8,12,3,9
4,82,11760,35,9,2,11
4,83,6528,34,6,1,9
4,84,2976,4,14,2,9
4,85,6480,27,7,1,10
4,86,2760,5,12,3,9
4,87,5880,7,15,2,9
4,89,8184,11,14,0,0
4,90,2880,12,7,3,10
4,91,12096,42,8,3,10
4,94,6072,11,12,3,8
5,94,1656,3,12,3,10
5,95,4896,17,8,3,10
5,99,1296,2,13,4,9
5,100,5376,28,6,3,9
5,102,11016,17,13,3,10
5,103,5880,7,15,1,10
