tti,ue,bits_sent,rb_used,cqi,queue_after,hol_deadline
0,11,1680,2,15,0,0
0,13,7752,19,10,0,0
0,18,8400,10,15,0,0
0,24,9240,11,15,0,0
0,44,2448,6,10,0,0
0,46,10080,21,11,0,0
0,47,12240,30,10,0,0
0,48,1536,8,6,0,0
0,50,9216,32,8,0,0
0,53,9672,13,14,0,0
0,61,1680,2,15,0,0
0,63,3672,9,10,0,0
0,67,9240,11,15,0,0
0,78,3360,4,15,0,0
0,81,1680,2,15,0,0
0,98,2232,3,14,0,0
1,6,1680,2,15,0,0
1,10,4200,5,15,0,0
1,11,10080,12,15,0,0
1,13,11424,28,10,0,0
1,17,3888,6,13,0,0
1,32,11760,14,15,0,0
1,33,10560,22,11,0,0
1,35,2760,5,12,0,0
1,43,5376,28,6,0,0
1,44,11424,28,10,0,0
1,45,6960,29,7,0,0
1,46,5304,13,10,0,0
1,55,5040,6,15,0,0
1,57,1104,2,12,1,9
2,5,5184,8,13,0,0
2,6,8400,10,15,0,0
2,14,4896,17,8,0,0
2,17,11664,18,13,0,0
2,25,1440,12,4,0,0
2,28,5880,7,15,0,0
2,34,9240,11,15,1,10
2,57,2208,4,12,0,0
2,62,9384,17,12,1,10
2,64,1224,3,10,0,0
2,66,5880,7,15,1,10
2,68,5952,31,6,0,0
2,70,10080,21,11,0,0
2,72,5880,7,15,0,0
2,75,1680,5,9,1,10
2,76,1920,8,7,0,0
2,79,8184,11,14,0,0
2,91,2520,3,15,1,10
3,34,1680,2,15,0,0
3,38,5280,11,11,0,0
3,42,6528,16,10,0,0
3,46,1344,4,9,0,0
3,53,11904,16,14,0,0
3,56,8928,12,14,1,11
3,58,9216,32,8,0,0
3,62,5520,10,12,0,0
3,66,10080,12,15,0,0
3,75,11760,35,9,0,0
3,78,3360,4,15,0,0
3,82,5208,7,14,0,0
3,85,8064,28,8,0,0
3,87,1104,2,12,0,0
3,91,6696,9,14,1,10
4,0,7440,10,14,0,0
4,8,11520,120,3,1,12
4,11,5040,6,15,0,0
4,12,1224,3,10,0,0
4,18,8400,10,15,0,0
4,25,1344,14,3,0,0
4,26,2976,4,14,0,0
4,29,9792,24,10,0,0
4,31,4200,5,15,1,11
4,91,840,1,15,0,0
4,98,2232,3,14,1,11
5,31,5880,7,15,0,0
5,40,7440,10,14,1,13
5,41,8400,35,7,2,12
5,49,2520,3,15,0,0
5,56,5208,7,14,1,12
5,59,5832,9,13,0,0
5,61,10080,12,15,0,0
5,73,6720,8,15,0,0
5,74,3840,16,7,0,0
5,80,3360,7,11,0,0
5,81,5880,7,15,0,0
5,83,7560,9,15,0,0
5,84,5040,70,2,1,11
6,8,2688,28,3,0,0
6,32,12600,15,15,1,14
6,37,8400,10,15,1,14
6,41,1440,6,7,2,12
6,84,4176,58,2,0,0
6,90,2592,4,13,2,12
6,96,5760,40,5,1,13
6,98,9240,11,15,0,0
6,99,9408,28,9,0,0
7,41,9792,51,6,1,13
7,42,6624,12,12,0,0
7,45,6048,21,8,1,13
7,47,6072,11,12,0,0
7,51,9240,11,15,1,13
7,54,10920,13,15,1,14
7,56,9672,13,14,1,15
7,65,9216,64,5,0,0
7,82,2976,4,14,1,12
8,4,6480,10,13,0,0
8,6,6720,8,15,1,15
8,9,9072,14,13,0,0
8,17,11904,16,14,1,15
8,23,11592,21,12,1,14
8,29,288,1,8,3,13
8,44,2688,8,9,1,14
8,46,10200,25,10,1,14
8,48,1368,19,2,0,0
8,50,9216,32,8,0,0
8,82,4536,7,13,0,0
8,90,6696,9,14,1,13
8,94,1728,6,8,2,13
8,95,5760,24,7,1,13
9,29,4320,15,8,2,15
9,35,11664,18,13,2,14
9,36,11040,23,11,1,16
9,40,6696,9,14,0,0
9,41,1680,7,7,0,0
9,43,16800,70,7,2,16
9,45,16704,58,8,1,13
10,14,5040,15,9,0,0
10,25,1440,20,2,1,17
10,45,1200,5,7,1,18
10,51,5952,8,14,0,0
10,70,9072,14,13,0,0
10,77,5040,6,15,1,18
10,79,9936,18,12,1,16
10,90,2976,4,14,0,0
10,91,6696,9,14,0,0
10,94,10752,32,9,1,16
10,95,9216,32,8,0,0
10,96,2664,37,2,1,13
11,3,6768,47,5,0,0
11,5,10920,13,15,0,0
11,7,6480,10,13,1,16
11,11,840,1,15,5,14
11,96,9288,129,2,0,0
12,11,11760,14,15,4,15
12,16,5040,6,15,0,0
12,23,11016,27,10,2,18
12,28,11760,14,15,0,0
12,30,10560,22,11,3,16
12,32,4464,6,14,0,0
12,35,6624,12,12,1,15
12,37,2976,4,14,0,0
12,38,11592,21,12,1,17
12,39,5952,8,14,0,0
12,44,2400,10,7,0,0
12,46,4488,11,10,2,17
12,54,9240,11,15,0,0
12,57,4464,6,14,2,18
12,75,960,5,6,1,19
12,81,10080,12,15,0,0
12,85,3168,11,8,2,14
13,0,11904,16,14,0,0
13,1,3720,5,14,0,0
13,6,8400,10,15,0,0
13,8,9504,132,2,3,15
13,85,864,3,8,1,15
13,88,5952,8,14,0,0
13,97,10608,26,10,1,21
14,7,5832,9,13,2,20
14,8,648,9,2,2,17
14,11,14280,17,15,2,17
14,13,10608,26,10,2,16
14,17,11664,18,13,1,17
14,29,8976,22,10,1,16
14,35,960,2,11,1,22
14,56,6072,11,12,0,0
14,59,7200,15,11,1,17
14,60,7128,11,13,0,0
14,67,10920,13,15,0,0
14,85,7728,23,9,0,0
14,93,6624,12,12,2,17
14,99,4032,12,9,0,0
15,13,3360,7,11,1,22
15,29,2352,7,9,0,0
15,30,11832,29,10,3,18
15,33,10080,30,9,2,19
15,36,4800,10,11,1,23
15,43,2688,14,6,2,17
15,49,4200,5,15,1,18
15,55,1680,2,15,1,20
15,61,1680,2,15,3,17
15,68,9360,39,7,2,22
15,79,5760,12,11,0,0
15,92,5040,6,15,1,19
15,94,10656,37,8,1,16
16,8,2952,41,2,2,21
16,11,3360,4,15,2,19
16,12,3264,8,10,2,20
16,17,2592,4,13,0,0
16,21,7176,13,12,0,0
16,25,5184,72,2,1,22
16,27,3864,7,12,1,20
16,31,10920,13,15,1,18
16,38,5184,8,13,0,0
16,43,1440,6,7,1,22
16,46,11040,20,12,2,17
16,94,1344,4,9,1,24
17,19,4536,7,13,1,18
17,46,1296,2,13,2,20
17,48,5376,28,6,2,23
17,59,8424,13,13,0,0
17,61,7560,9,15,2,19
17,65,3168,11,8,1,23
17,74,10944,38,8,1,20
17,80,8568,21,10,2,19
17,84,6960,58,4,1,22
17,93,6480,10,13,2,18
17,98,2520,3,15,2,21
18,4,11160,15,14,1,24
18,10,5040,6,15,1,20
18,11,4200,5,15,1,23
18,15,7560,9,15,0,0
18,19,5184,8,13,0,0
18,20,1920,4,11,2,23
18,23,4968,9,12,2,20
18,24,10080,12,15,2,20
18,26,2976,4,14,4,20
18,30,4896,12,10,2,20
18,31,5880,7,15,1,25
18,33,2688,8,9,1,20
18,45,2160,9,7,0,0
18,49,8400,10,15,0,0
18,50,1680,7,7,2,22
18,53,11760,14,15,1,26
18,57,1656,3,12,2,20
18,61,4200,5,15,2,19
18,62,9792,24,10,0,0
18,77,1680,2,15,0,0
18,83,7560,9,15,2,19
18,93,11664,18,13,1,24
19,2,1656,3,12,1,26
19,7,1104,2,12,1,21
19,10,8400,10,15,0,0
19,12,11424,34,9,1,24
19,18,3360,4,15,0,0
19,23,4320,9,11,1,24
19,24,11760,14,15,1,26
19,26,11904,16,14,3,21
19,27,2208,4,12,1,27
19,30,7200,15,11,2,20
19,61,6720,8,15,1,20
19,63,7392,22,9,1,27
19,75,6480,27,7,1,23
19,80,9120,19,11,1,22
19,83,9240,11,15,1,25
19,92,1680,2,15,0,0
20,7,3240,5,13,0,0
20,8,4440,37,4,2,21
20,30,4080,10,10,1,22
20,33,6528,16,10,0,0
20,40,2760,5,12,3,24
20,41,3456,12,8,2,26
20,46,1440,3,11,1,25
20,55,8928,12,14,1,28
20,57,7728,14,12,1,24
20,61,12600,15,15,0,0
20,66,2520,3,15,2,21
20,69,11832,29,10,2,22
20,70,1440,3,11,3,21
20,71,6720,8,15,2,24
20,74,11424,28,10,1,26
21,8,5856,61,3,1,23
21,9,10560,22,11,0,0
21,26,11904,16,14,2,22
21,44,1152,4,8,3,27
21,66,10920,13,15,2,22
21,70,9936,18,12,2,22
21,76,7680,16,11,2,26
21,90,8928,12,14,3,23
21,97,10944,38,8,2,21
22,5,5952,8,14,2,25
22,13,1920,4,11,2,24
22,25,9024,188,1,2,22
23,3,9120,95,3,2,26
23,8,5568,58,3,1,31
23,11,11760,14,15,2,30
23,20,10488,19,12,1,25
23,22,5520,10,12,3,26
23,36,1920,4,11,2,23
24,4,3888,6,13,1,32
24,6,9240,11,15,4,26
24,12,11232,39,8,1,29
24,13,11424,34,9,1,27
24,16,10080,12,15,3,26
24,23,9744,29,9,0,0
24,36,3360,7,11,0,0
24,39,5880,7,15,4,25
24,40,960,2,11,2,25
24,56,8184,11,14,0,0
24,57,4968,9,12,2,29
24,71,5040,6,15,1,26
24,93,4320,9,11,2,28
24,94,6048,18,9,4,24
25,2,8928,12,14,1,29
25,3,4440,37,4,1,31
25,5,7728,14,12,2,27
25,6,5880,7,15,3,27
25,14,1632,4,10,1,32
25,16,1680,2,15,2,30
25,20,2760,5,12,1,33
25,22,9120,19,11,3,29
25,24,5880,7,15,1,28
25,26,2232,3,14,1,33
25,31,5040,6,15,2,28
25,34,2520,3,15,2,26
25,39,2520,3,15,4,26
25,40,11832,29,10,1,28
25,46,8928,12,14,1,33
25,48,1680,7,7,1,32
25,81,5880,7,15,0,0
25,83,4200,5,15,1,33
25,90,3888,6,13,2,28
25,91,10080,12,15,1,28
26,34,2520,3,15,2,32
26,39,8400,10,15,3,28
